Sun, 24 Sep 2017 12:22:47 INFO Get char: 0
Sun, 24 Sep 2017 12:22:59 INFO -- username: 深海科技23501, id: 6070869523
Sun, 24 Sep 2017 12:22:59 INFO -- username: zoe小水仙2016, id: 6089779294
Sun, 24 Sep 2017 12:22:59 INFO -- username: 逆暖6058251315, id: 6058251315
Sun, 24 Sep 2017 12:22:59 INFO -- username: 柚子6050021165, id: 6050021165
Sun, 24 Sep 2017 12:22:59 INFO -- username: 用户3607491420, id: 3607491420
Sun, 24 Sep 2017 12:22:59 INFO -- username: maodun_123, id: 1840908585
Sun, 24 Sep 2017 12:22:59 INFO -- username: 如颕随行75217, id: 6238456908
Sun, 24 Sep 2017 12:22:59 INFO -- username: 用户6322911365, id: 6322911365
Sun, 24 Sep 2017 12:22:59 INFO -- username: 嘎嘎5937814299, id: 5937814299
Sun, 24 Sep 2017 12:22:59 INFO -- username: 手机用户3241593332, id: 3241593332
Sun, 24 Sep 2017 12:22:59 INFO -- username: isunny6517, id: 5661901484
Sun, 24 Sep 2017 12:22:59 INFO -- username: yeshasha111, id: 6047983137
Sun, 24 Sep 2017 12:22:59 INFO -- username: 用户6364531877, id: 6364531877
Sun, 24 Sep 2017 12:22:59 INFO -- username: Jinchun201709, id: 6370052755
Sun, 24 Sep 2017 12:22:59 INFO -- username: 用户6068298177, id: 6068298177
Sun, 24 Sep 2017 12:22:59 INFO -- username: 夜空中最亮的星0319, id: 2698845123
Sun, 24 Sep 2017 12:22:59 INFO -- username: Jennyren2010, id: 1567156651
Sun, 24 Sep 2017 12:22:59 INFO -- username: 用户6373367310, id: 6373367310
Sun, 24 Sep 2017 12:22:59 INFO -- username: 云端之上恋歌732016, id: 6371939569
Sun, 24 Sep 2017 12:22:59 INFO -- username: 手机用户2005224075_161, id: 2005224075
Sun, 24 Sep 2017 12:22:59 INFO -- username: 用户6372948166, id: 6372948166
Sun, 24 Sep 2017 12:22:59 INFO -- username: miao喵miao1212, id: 2940124897
Sun, 24 Sep 2017 12:22:59 INFO -- username: 康格多山路, id: 2827855931
Sun, 24 Sep 2017 12:22:59 INFO -- username: 用户5424525971, id: 5424525971
Sun, 24 Sep 2017 12:22:59 INFO -- username: 用户5387367341, id: 5387367341
Sun, 24 Sep 2017 12:22:59 INFO -- username: 手机用户2005224075_161, id: 2005224075
Sun, 24 Sep 2017 12:22:59 INFO -- username: 手机用户2005224075_161, id: 2005224075
Sun, 24 Sep 2017 12:22:59 INFO Get char: 2
Sun, 24 Sep 2017 12:23:06 INFO -- username: 2019咪, id: 2243329651
Sun, 24 Sep 2017 12:23:06 INFO -- username: 2017蒲公英的种子, id: 5994455616
Sun, 24 Sep 2017 12:23:06 INFO -- username: 汤214214, id: 6056345808
Sun, 24 Sep 2017 12:23:06 INFO -- username: 520711XRQjH, id: 5535961694
Sun, 24 Sep 2017 12:23:06 INFO -- username: 520小王子的小狐狸, id: 6277332998
Sun, 24 Sep 2017 12:23:06 INFO -- username: 惦记211, id: 3376881850
Sun, 24 Sep 2017 12:23:06 INFO -- username: 红儿218, id: 5252102689
Sun, 24 Sep 2017 12:23:06 INFO -- username: 太乐201707, id: 6323777769
Sun, 24 Sep 2017 12:23:06 INFO -- username: 亮哥200704, id: 6364370985
Sun, 24 Sep 2017 12:23:06 INFO -- username: 隽隽201707, id: 6300697797
Sun, 24 Sep 2017 12:23:06 INFO -- username: 当麻201606, id: 5953362362
Sun, 24 Sep 2017 12:23:06 INFO -- username: 兮12251002, id: 5309777967
Sun, 24 Sep 2017 12:23:06 INFO -- username: 天羽20132013, id: 3188176572
Sun, 24 Sep 2017 12:23:06 INFO -- username: 多多20110712, id: 1856962624
